import time: self [us] | cumulative | imported package
import time:   1911952 |    1911952 |                           narwhals.expr_str
import time:   1889080 |    1889080 |                           narwhals.expr_struct
import time:   1812752 |    1812752 |                                   narwhals._compliant.typing
import time:   2189216 |    2189216 |                                   narwhals._translate
import time:   2769716 |    6771683 |                                 narwhals._compliant.dataframe
import time:   1842572 |    1842572 |                                   narwhals._compliant.any_namespace
import time:   2049684 |    2049684 |                                   narwhals._compliant.column
import time:   1799012 |    1799012 |                                   narwhals._compliant.namespace
import time:   2218697 |    7909964 |                                 narwhals._compliant.expr
import time:   1629884 |    1629884 |                                 narwhals._compliant.group_by
import time:   1665769 |    1665769 |                                 narwhals._compliant.selectors
import time:   1646102 |    1646102 |                                 narwhals._compliant.series
import time:   1519070 |    1519070 |                                 narwhals._compliant.window
import time:   3338405 |   24480874 |                               narwhals._compliant
import time:   3348387 |   27829260 |                             narwhals.plugins
import time:   1619509 |    1619509 |                             narwhals._constants
import time:   1685147 |    1685147 |                             narwhals._native
import time:   2129860 |   33263775 |                           narwhals.translate
import time:   3401363 |   47770463 |                         narwhals.expr
import time:   2756178 |   56203440 |                       narwhals.selectors
import time:   1665342 |    1665342 |                         narwhals._typing
import time:   1668407 |    1668407 |                         narwhals.functions
import time:   1841456 |    1841456 |                         narwhals.schema
import time:   1657863 |    1657863 |                             narwhals.typing
import time:   1598828 |    3256690 |                           narwhals.series_cat
import time:   1715447 |    1715447 |                           narwhals.series_dt
import time:   1818516 |    1818516 |                           narwhals.series_list
